Priceperweek,Population,Monthlyincome,Averageparkingpermonth,Numberofweeklyriders
15,180000,5800,50,190
15,179000,6200,50,194
15,178000,6400,60,191
25,177800,6500,60,177
25,175000,6550,60,178
25,170000,6580,70,184
25,172000,8200,75,108
30,172000,8600,75,152
30,170000,8800,75,144
30,175000,9200,80,139
30,110000,9630,80,178
40,170000,10570,80,162
40,165000,11330,85,166
40,195000,11600,100,166
40,169000,11800,105,168
40,160000,11830,105,152
65,140000,12650,105,148
102,165000,13000,110,116
75,130000,13224,125,142
75,120000,13766,130,154
75,115000,14010,150,150
80,165000,14468,155,130
86,150000,15000,165,122
98,159000,15200,175,128
87,159000,15600,175,120
77,160000,16000,190,116
63,1510000,16200,200,158
